,Unnamed: 0,Unnamed: 0.1,id,full_name,prefix,pdes,class,diameter,diameter_sigma,albedo,rot_per,GM,BV,UB,IR,e,a,q,i,moid,spec_B,spec_T,dv,dv2
0,42,3360,a0003361,  3361 Orpheus (1982 HR),,3361,APO,0.3,,,3.532,,1.022,0.503,,0.3228505191304443,1.209765668697587,0.8191921945323818,2.6844813056448324,0.0138793,,,5.542843,4.242509140884003
3,384,101954,a0101955,101955 Bennu (1999 RQ36),,101955,APO,,,,4.288,,,,,0.2037451112033579,1.126391026007489,0.8968943611551285,6.034939195483961,0.0032228,,,5.095923,3.602652890535165
4,398,136616,a0136617,136617 (1994 CC),,136617,APO,,,,2.3886,,,,,0.4169491714821665,1.637852067374191,0.9549510048721682,4.6805637699502665,0.0159993,,,5.430923,4.886081279265463
6,636,162172,a0162173,162173 Ryugu (1999 JU3),,162173,APO,,,,7.6270000000000024,,,,,0.1902079380866259,1.1895499356512258,0.9632880951399282,5.883639565312648,0.00132164,Cg,,4.663151,3.2350319727970502
8,693,163248,a0163249,163249 (2002 GT),,163249,APO,,,,3.7663,,,,,0.33493122611190196,1.344167588188241,0.8939638897764753,6.967375976467763,0.0153315,,,5.480372,4.535901295016448
11,835,207944,a0207945,207945 (1991 JW),,207945,APO,,,,3.15,,,,,0.1186257963595055,1.039100101539893,0.9158360244974806,8.709785728265107,0.0194677,,,5.624072,4.085542262631692
16,2067,448165,bJ99N02W,       (1999 NW2),,1999 NW2,APO,,,,4.2,,,,,0.1086523615594515,1.116026155719101,0.9947672783381049,8.680024828401923,0.016561000000000003,,,5.106105,3.6325677076268006
17,2290,450027,bK01E16C,       (2001 EC16),,2001 EC16,APO,,,,200.0,,,,,0.3639553022655331,1.3456252792610541,0.8558778240114545,4.7115469036072115,0.011608,,,5.57228,4.592196202664868
21,3922,483770,bK06C00T,       (2006 CT),,2006 CT,APO,,,,16.69,,,,,0.2307359309272762,1.0968996879874642,0.8438055173458373,2.7412396783925486,0.00171858,,,5.185128,3.5684130530193787
22,4239,493969,bK06UL6A,       (2006 UA216),,2006 UA216,APO,,,,2.5037,,,,,0.3157332310863925,1.455842784463931,0.9961848381713232,6.734976928405912,0.015339799999999999,,,5.015161,4.183628260636484
23,4384,498346,bK07C50X,       (2007 CX50),,2007 CX50,APO,,,,1.45,,,,,0.2258768365512192,1.206745406642059,0.9341695716670364,7.5017811857592465,0.0159367,,,5.089225,3.8153715782812654
26,5334,521592,bK08T26T,       (2008 TT26),,2008 TT26,APO,,,,7.1,,,,,0.2572340292646461,1.3454410215961068,0.999347806472999,8.476081653604293,0.00859757,,,4.994578,4.010531370025279
28,5702,532825,bK09F00K,       (2009 FK),,2009 FK,APO,,,,1.0,,,,,0.3693991229240631,1.5217570344205982,0.959621320602106,2.8151769243154336,0.000297666,,,5.058406,4.281919208147642
30,9228,623135,bK13N00J,       (2013 NJ),,2013 NJ,APO,,,,4.5,,,,,0.2836639473538292,1.286313883241951,0.9214330095855072,3.939043172401198,0.00600224,,,4.916993,3.7075956342030536
32,9844,634842,bK14B57R,       (2014 BR57),,2014 BR57,APO,,,,5.07,,,,,0.3987203771009045,1.357795656874595,0.8164148605395865,3.854519993510612,0.0111822,,,5.848337,4.912841654406209
33,10991,666028,bK14WK1F,       (2014 WF201),,2014 WF201,APO,,,,31.2,,,,,0.1091873089588598,1.1087569803276471,0.9876947893563198,8.500836608653978,0.017001,,,5.107131,3.614731405325245
